a matter of speculation 	n. 推断	supposition
intriguing	a. 迷人的	fascinating
intrinsic	a. 本质的;内在的	essential
intrinsic	a. 本质的;内在的	inherent
intrusive	a. 侵入的	invasive
invade	v. 入侵;侵犯	move into
invaluable	a. 极宝贵的	highly useful
invariably	ad. 始终如一地;一贯地	always
invent 	v. 发明	devise
inviolable 	a. 不可违背的	allowing no attack
inviolable	a. 不可违背的	without exception
invoke 	v. 垦求,祈求	appeal
irrecoverable 	a. 不能挽回的	permanent
irreparable	a. 不能挽回的	permanent
isolated	a. 孤立的;分离的	separated
jettison	v. 抛弃	release
jolt	v. 震动;震惊	shock
judge	v. 评判	estimate
junction 	n. 连接;接合	connection
juncture 	n. 连接;接合	connection
justified	a. 正当的	right
justify	v. 证明...是正当的	prove
key	a. 重要的;关键的	significant
lading	n. 货物	cargo
lading	n. 货物	shipment
landscape	n. 风景;景色	scenery
lap	n.落后	delay
large	a. 大的;大量的	extensive
largely 	ad. 大部分;主要地	mostly
launch	v. 发起;发动	initial
launch	v. 发起;发动	initiate
launch	v. 发起;发动	start
lax	adj. 马马虎虎的；不严谨的	careless
legitimacy	n. 合法性	authority
legitimately	ad. 正当地;合法地	properly
leisure	n. 闲暇	free time
leisurely	a. 悠闲的;从容不迫地	slowly
lethal 	a. 致命的	deadly
lethal	a. 致命的	fateful
liberal 	a. 宽大的	extensive
liken	v. 比较	to compare
likewise	ad. 同样地	similarly
linger	v. 徘徊;漫步	stroll
linger	v. 徘徊;漫步	wander
link	v. 连接	connect
link	v. 连接;结合	consist of
link	v. 连接;结合结合	put together
listening 	a. 留神听的	advertent
livelihood	n. 生活;生计	means of support
locale	n. 现场;场所	place
locate	v. 找出	find
lucrative	a. 有利益的	profitable
luxuriant	a. 茂盛的	thriving
magnify	v. 放大	enlarge
magnify	v.放大，加大	increase
magnitude 	n. 量;大小	amount
magnitude 	n. 巨大;广大	extent
maintain	v. 维持;使继续	continue
majestic	a. 壮观的	magnificent
make their way	phrv. 前进	travel
malleable 	a. 有延展性的;可塑的	pliable
mandatory 	a. 强制的;义务的	obligatory
mandatory 	a. 强制的;义务的	required
manifest	v. 表明;显现	reveal
manipulate	v. 操纵	control
marked 	a. 显着的	considerable
marked	adj.明显的，显著的	significant
markedly	ad. 显着地	distinctly
markedly	adv.显著地	noticeably
marvelously	adv.引人注目地	remarkably
mask 	v. 遮避;掩护;伪装	cover
mask	v. 遮避;掩护;伪装	disguise
massive	a. 巨大的	enormous
massive	a. 巨大的	huge
mastery	n. 控制	control
materialize	v. 产生，形成	come into being
matter	n. 问题;事件	issue
mature	adj. 成熟的	get older
maximum 	n. 最大量	greatest size
mean	n. 平均值	average
mechanism	n.机制，原理	means
merely 	ad. 仅仅	no more than
merely 	ad. 仅仅	only
merely	ad. 仅仅	simply
merge	v. 合併;融合	blend
merge	v. 合併;融合	combine
meticulously	ad. 小心地	carefully
microbe	n. 微生物;细菌	germ
milestone	n. 里程碑; 划时代的事件	significant event
milky way 	n. 银河	galaxy
mimic	v. 模仿	copy
mimic	v. 模仿	imitate
miniature	a. 微型的	small
minuscule	a. 微型的	tiny
minute 	a. 微小的	very small
minute	a. 微小的	tiny
minute	adj.少的	small
minutely	ad. 详细地;精密地	finely
minutely	ad. 详细地; 精密地	in detail
mirror	v. 反映;反射	reflect
misconception	n. 误解	wrong idea
misleading	a. 使人误解的	erroneous
misleading	a. 使人误解的	inaccurate
misleading	adj. 令人误解的	unreliable
misunderstanding	n. 误解	FALSE idea
misunderstanding	n. 误解	wrong idea
mock	v. 模仿	pretend
moderate	adj.温和的	temperate
modes	n.模式；方法	manner
modest 	a. 适度的	limited
modest	a. 适度的	not too large 
modification 	n. 修改;改变	alteration
modify	vt.修改，更改	change
momentous	a. 重要的	significant
monitor	v. 监控;监视	observe
monopolize	v. 独占；垄断	dominate
monotone	a. 单调的;乏味的	tedious
monotonous	a. 单调的;无聊的	boring
moreover 	ad. 此外	additionally
moreover	ad. 此外	in addition
motif	n. 图案	pattern
mount 	v. 增长	grow
mount	v. 登上	climb
mount	v. 增长	increase
mundane	a. 世俗的;平凡的	material
mundane	a. 世俗的;平凡的	ordinary
mutually exclusive	adj.矛盾的	contradictory
myriad	a. 大量的;无数的	countless
myriad	a. 大量的;无数的	innumerable
myriad	a. 大量的;无数的	numerous
narrow	v. 使变窄	limit
nature	n. 天性;本质	character
nearly	ad. 几乎;差不多	almost
necessary	a. 必要的	required
needless to say	phr. 不用说	obvious
nevertheless	ad. 然而;尽管	however
nevertheless	ad. 然而;尽管	in spite of
nocturnal 	a. 夜间的	nighttime
notable	a. 显着的;重要的	important
notable	a. 显着的;重要的	outstanding
notably	adv.明显地	especially
note 	v. 记录	record
noticeable	a. 显而易见的	obvious
notwithstanding	prep. 虽然; 尽管	despite
notwithstanding	conj. 虽然	nevertheless
objective	n. 目标	purpose
oblige	v. 强迫	force
obscure 	v. 使变暗;遮掩	conceal
obscure 	a. 模煳的	unclear
obscure	v. 使模煳	hide
obscure	a. 模煳的	not clear
obsession	n. 痴迷;迷恋	with fixation on
obtain	v. 取得;获得	acquire
obvious	a. 明显的	evident
occasion	n. 重大活动	event
occasionally	adv. 偶尔地	once in a while
of legitimacy	a. 合法的	lawful
of likelihood	a. 可能的	probable
offset	v. 补偿;抵销	balance
offset	v. 补偿;抵销	compensate
offset	v. 补偿;抵销抵销	make up
offset	vt.抵消	counterbalance
old male	n. 老人	aged male
omit 	v. 遗漏;删去	neglect
omit	v. 遗漏;删去	exclude
on the contrary	phr. 恰恰相反	on the other hand
on the contrary	phr. 恰恰相反	whereas
on the whole	ph. 大体上	in general
ongoing 	a. 进行的	current
onset 	n. 开始	start
onset	n. 开始	beginning
opaque 	a. 难理解的	impenetrable
optimal	a. 最佳的	most advantageous
optimal	adj. 最佳的；最理想的	ideal
option 	n. 选项;选择	choice
orchestrate	v. 精心安排	stage manage
orientation 	n. 观点	perspective
orientation	n. 介绍	introduction
originally	ad. 起初	at the first
originate from	v. 来源于	come into existence from
ornament	v. 装饰	decorate
ornamental 	a. 装饰的	decorative
ornamentation	n. 装饰	decoration
outbreak 	v. 爆发;突然发生	sudden increase
outcome	n. 结果	result
outermost	a. 最远的	farthermost away
overlook	vt. 忽略	ignore
overview	n. 概要	summary
overwhelming	a. 压倒性的	powerful
pace	n.速度	speed
pacify 	v. 使平静	assuage
paradox	n. 相反;矛盾	contrary
paradoxically	ad. 似非而是地	seemingly contradictory
parcel out 	phrv. 把...分成几份;分配	distribute
pare away	v. 修掉;削减削减	remove
partly 	ad. 部份地	in some degree
patch 	n. 小块土地	area
patch 	n. 斑点	spot
peak 	n. 高峰（期）	highest point
peak	n. 高峰（期）	maximum
peak	n. 高峰（期）	time of the greatest period
peak	n.顶点	summit/climax
peculiar	a. 奇怪的;独特的	strange
penetrate 	v. 穿入;穿透	enter
perceptible 	a. 可感知的	noticeable
perceptible	a. 可感知的	appreciable
peril	n. 危险	danger
perilous	a. 危险的	dangerous
perilous	a. 危险的	hazardous
perilous	a. 危险的	risky
perilous	a. 危险的	toxic
periodically	ad. 周期性地	from time to time
periodically	ad. 周期性地	regularly
perishable 	a. 易腐坏的	easy to spoil
permanent 	a. 永恒的	lasting
permeate 	v. 渗透;弥漫	penetrate
permit	v. 允许	allow
perpetual 	a. 永久的;连续的	constant
persist 	v. 坚持;持续	continue
persist	v. 坚持;持续	last
persistent	a. 耐久的	long lasting
personality	n. 个性;性格	character
pertinent 	a. 相关的	relevant
pervasive	a. 普遍的	widespread
phenomena 	n. 现象	events
phenomenal	a. 异常的	extraordinary
phenomenon	n. 现象	observable fact
phenomenon	n. 现象	occurrence
piecing 	n. 接合	joining
pigment	n. 色素	color
pigmentation	n. （生物的）天然颜色	coloring
pigmentation	n. 染色	dye
pinnacle 	n. 顶点;顶峰	high point
pinpoint 	v. 准确地解释或说明	clearly identify
pinpoint 	v. 准确地解释或说明	describe precisely
pinpoint 	a. 精确的	precise
plague	n.麻烦	cause problems
plausible 	a. 貌似有理的	believable
plausible 	a. 似是而非的	paradoxical
pledge	n. 保证;誓言	promise
plumage	n. 羽毛	feather
pocketbook	a. 负担得起的	affordable
popular	a. 流行的;广泛的	broad
popular	a. 流行的;广泛的	widespread
pore 	n. 毛孔;细孔	space
pore	n. 毛孔;细孔	hole
portable 	adj. 手提的，便携式的	can be carried
portion	n. 一部分	constituent
portion	n. 一部分	part
portions	n.部分	parts
pose 	v. 摆姿势;展现	present
pose	v. 摆姿势;展现	place
posit 	v. 断定;假定	assume
posit 	v. 断定;假定	propose
posit	v. 断定;假定	suggest
postulate	v. 假定	hypotheses
postulate	v. 假定	presume
potent 	a. 有力的	powerful
potential 	a. 潜在的;可能的	possible
potential	adj.可能的	capability
potential	adj.潜在的	latent
practically	ad. 几乎;差不多	nearly
pragmatic 	adj.实际的	practical
precarious 	a. 不稳定的;危险的	insecure
precede 	v. 高于;超出	be beyond
precede	v. 在…之前	come before
precious 	a. 宝贵的	valuable
precipitate 	v. 使…突然发生	bring about
precision 	n. 精确;正确	accuracy
preclude	v. 排除;阻止阻止	rule out
predicament 	n. 尴尬的处境;困境	difficult situation
predicament 	n. 尴尬的处境;困境	serious situation
prediction 	n. 预言	prophecy
predominant 	a. 占优势的	very noticeable
predominant	a. 占优势的	most aggressive
predominant	a. 占优势的	principal
predominantly	ad. 占优势地	primitively
predominately 	ad. 主要地	mainly
preeminent 	a. 卓越的;显着的	foremost
premise	v. 假定;前提	assume
premise	n. 假定;前提	assumption
premise	n.前提，假定	assumption
preoccupation with	phr. 专注于	concentration on
preordain 	v. 预定;注定	ordain
preordain	v. 预定;注定	appoint
preordain	v. 预定;註定	foreordain
prerequisite 	n. 必要条件	requirement
prerequisite	n.必要条件	something needed to happen
prerequisite	n. 必要条件	something required
preserve	v. 保存;保护	protect
preserve	v. 保存;保护	retain
preserve	v. 保存;保护	save
presumable	a. 可推测的;可能有的	probably
presumable	adj.可能有的，可推测的	supposable
prevailing	a. 占优势的	dominant
prevailing	a. 流行的	popular
prevalent 	a. 普遍的;流行的	common
prevalent 	a. 普遍的;流行的	prevailing
previous	a. 先前的;以往的	past
previously	ad. 以前;早先	before
primarily	ad. 主要地	mainly
primary	a. 主要的	dominant
primitive	a. 原始的	early
primitive	adj.简单的，粗糙的	basic and simple
principal 	a. 主要的	essential
principal	a. 主要的	major
principle	n. 原则	rule
principle	n. 原则	standard
prior 	a. 在先的;在前的	previous
priority	n. 优先	ranking preference
pristine	a. 清新的;纯朴的	pure
prized	a. 有价值的	valued
probe 	v. 探查;探测	explore
process	v. 加工	purify
procure 	v. 获得;取得	acquire
procure 	v. 获得;取得	obtain
profound	a. 深远的	far-reaching
profound	adj.深的	deep
programmed	a. 计画…的	determined
prohibitive	a. 抑止的	unaffordable
projection	n. 推测;估计	estimate
projection	n.预测，推断，设想	prediction
proliferating	vi.繁殖	multiplying
proliferation	n. 增产;增加	increase
prolifically	ad. 多产地	abundantly
prolong 	v. 延长	extend
prolong	adj.过长的	lengthy
prominent 	a. 显着的	eminent
prominent 	a. 卓越的;重要的	principal
prominent	a. 卓越的;重要的	outstanding
prominent	adj.突出的，重要的	important
promote	v. 促进;增长	encourage
promote	vt. 促进；提升；推销；发扬	enhance
prompt	n. 催促；激励；怂恿；提醒	cause
pronounced 	a. 明显的;显著的	definite
pronounced	a. 明显的;显著的	clear
pronounced	a. 明显的;显著的	notable
propagate	v. 繁殖	multiply
propagate	v. 繁殖	reproduce
propel 	v. 推进;激励	push
property 	n. 特性;属性	characteristic
property	n. 特性;属性	quality
proponent	n. 拥护者	supporter
proposal	n. 提议，建议	idea
prosper 	v. 成功;兴旺	succeed
prosperity	n. 幸福生活	well being
prosperous	a. 富有的;繁盛的	wealthy
prototype 	n. 原型	model
protrude 	v. 伸出;凸出	project
protrude 	v. 伸出;凸出凸出	stick out
protrude	v. 伸出;凸出	extend
provided	conj. 如果	if
provoke	v. 激起;导致	elicit
prowess 	n. 英勇	ambition
prowess	n. 非凡的技能	expertise
proximity 	n. 接近	nearness
proximity to	n. 邻近; 靠近	close to
proximity	n. 接近	closeness
pursue 	v. 追求;追赶	chase
quarters	n. 住处	residences
radical 	a. 彻底的;极端的	drastic
radical 	a. 彻底的;极端的	extreme
radical 	a. 根本的	fundamental
radically 	a. 根本地	completely
raise to	v. 引起; 使出现	cause to/ come about
ramification 	n. 结果;衍生物	consequence
ramification	n. 分枝;分派	branch
range	v. 变化;变动	vary
rare 	a. 稀有的;罕见的	scarce
rare	adj. 稀有的	unusual
rate	v. 评价;分等	classify
rather than	phr. 而不是	instead of
ravage	n.毁坏	destroy
readily 	ad. 容易地	easily
ready	a. 甘心的;情愿的	receptive
realm	n. 领域	area
rebellion	n. 反抗;叛乱	revolt
rebound	n. 重新振作	recovery
receptacle	n. 容器	receiver
receptivity to 	phr. 接受	openness to
recharge	v. 再充填	refill
recur	v. 反覆出现	repeat
refine	v. 精炼	improve
refined 	a. 精致的	decent
refined 	a. 精緻的	with high quality
refined	adj.精炼的	improved
refreshing	a. 别具一格的	unusual
refuge	n.庇护，庇护所	safety
refuse	n. 垃圾	garbage
regardless 	ad. 无论如何	without considering
regenerate	vt.新生，再生	renew
regrettable	adj.不幸的，令人遗憾的	unfortunate
regulate 	v. 调整;调节	adjust
regulate 	v. 管理;控制	control
reinforce	v. 加强	strengthen
relative	a. 比较的	comparative
relatively 	ad. 相对地;对比地	comparatively
relatively 	ad. 相对地;对比地	oppositely
relatively	ad. 相对地;对比地	correspondingly
relevant	adj. 有关的;恰当的	applicable
relic 	n. 遗物;遗迹	remain
relic	n. 遗物;遗迹	remnant
reluctance	n.不情愿，不愿意	unwillingness
reluctant	a. 不情愿的	disinclined
remarkable 	a. 非凡的;卓越的	notable
remarkable	a. 非凡的;卓越的	incredible
remarkably	adv. 显著地；非常地	surprisingly
remedy 	v. 治疗	cure
remnant 	a. 残留的	remaining
remnant	n. 残余	remains
remnant	n.剩余	left-over
remote	a. 遥远的	distant
remote	a. 遥远的	isolated
render	v. 使得	make
rendering	n. 演奏;表演	presentation
renowned	a. 有名的	famous
repercussion	n. 回响;影响	effect
replicas	n. 复制品	copies
repudiate	v. 否定;驳斥	reject
reputation	n. 名声	fame
resembling	vt.类似，近似	approximating
reserve 	v. 保存;保留	save
resident	n. 居民	inhabitant
residual 	a. 残留的	remaining
resilient 	a. 迅速恢复的	easy to recover
resilient	a. 迅速恢复的	quick to recover
respective	adj.每个的，各个的	particular
restricted	a. 受限制的	limited
resume 	vt.重新开始	start again
retain	v. 保持;保留	keep
retreat	v. 撤煺	recede
retrieve	v. 找回	bring back
reveal 	v. 展现;揭露	manifest
reveal 	v. 展现;揭露	show
reveal	v. 展现;揭露	make known
revenues	n. 税收	income
revival 	n. 恢复;再生	restoration
revival 	n. 恢复;再生	resuscitation
revive	v.重新，重演	recover
revolution	n. 彻底改革	dramatic change
revolutionize 	v. 彻底改革	change dramatically
rigidly	ad.严厉地	strictly
rigorous	a. 严厉的	demanding
rigorous	a. 严厉的	harsh
rigors	n.困难，严格	difficulties
rise	v. 出现	emerge
risk 	n. 危险	danger
ritual 	n. 仪式	ceremonial
rival 	v. 竞争;对抗	compete
roam	v. 漫游	wander
robust	a. 强壮的;结实的	healthy
role 	n. 作用	function
rotate	v. 转动	turn
roughly	ad. 大约地	approximately
roundabout	a. 迂回的	circuitous
route	n. 路径；途径	path
routinely	ad. 常规地	commonly
rudiment	n. 基础	basic
rudimentary 	a. 根本的	primitive
rudimentary	a. 根本的	basic
rupture	v. 破裂	burst
sacred	a. 神圣的	holy
sample	n. 样本;例子	example
satisfied 	a. 令人满意的	fulfilled
save for 	prep. 除…之外	except for
scale	n. 大小;等级	magnitude
scant	a. 少量的	minimal
scanty	adj. 缺乏的; 稀疏的	thin
scatter 	v. 使分散	distribute
scatter	v. 使分散	disperse
scented 	a. 有气味的	fragrant
scope 	n. 范围;程度	extent
scope 	n. 范围;程度	horizon
scorching	a. 酷热的	exceedingly hot
score 	n. 大量的;许多的	a large number of
scorn	v. 轻蔑;嘲笑	despise
scrap	n. 碎片	fragment
screen 	v. 过滤	filter
scrutinize	v. 详细审查	examine
scrutiny 	n. 详细审查	examination
sculpt	v. 雕刻;造型	shape
secrete	v. 分泌	produce
sedentary	a. 久坐的;固定的	settled
seek	vt.试图，企图	attempt
seething 	a. 激昂的	active
seething	a. 激昂的	excited
segment	n. 部分;片断	portion
seize	v. 抓住	take
seldom	a. 很少的	rare
sensational	adj. 轰动的	extraordinary
separate 	a. 各别的;不同的	different
serene	a. 平静的	calm
serene	a. 平静的	silent
set in	phrv. 开动	motion start
set off	phrv. 出发;动身;引起	begin
setback	n.挫折，失败	failure
settle 	v. 定居;安顿	inhabit
severe	a. 严厉的;严酷的	harsh
severity	n.严格，严肃	seriousness
shallow	a. 浅的	not deep
shatter	v. 打碎	destroy
sheer	a. 完全的	absolute
shield 	v. 保护	protect
shift 	v. 转换;转移	change
shift	v. 转换;转移	move
shiver	v. 发抖;打颤	tremor
showcase	v. 陈列	display
shrink	v. 缩水;收缩	contract
shy away from 	phrv. 回避；躲避	avoid
significance	n.重要性	importance
significant 	a. 重大的	considerable
significant 	a. 重大的	meaningful
significant	a. 重大的	important
simulated	a. 假装的;仿造的	artificial
simultaneously	ad. 同时地	at the same time
singularly 	ad. 非常;特别	particularly
sink	v. 下沉;下陷	descend
sink	v. 下沉;下陷	drop to the bottom
sink	v. 下沉;下陷	pass out of sight
site	v. 选址;设置	locate
size up	v. 估计	reckon up to
skeptical 	a. 怀疑的;多疑的	doubting
skeptical	a. 怀疑的;多疑的	suspected
skeptical	adj. 怀疑的	doubtful
slight	a. 轻微的;少量的	small
slightly	ad. 稍微地	somewhat
slope 	v. 倾斜	incline
snap	v. 断裂	break
so far	phr. 目前为止	until present
so far	phr. 目前为止	up to now
so far	phr. 目前为止	up to present
soak 	v. 吸收	absorb
sole	a. 单独的;唯一的	only
sole	a. 单独的;唯一的	unique
solicit	v. 垦求;请求	request
solitary	a. 单独的;独自的	alone
sophisticated 	a. 精致的;复杂的	complex
sophisticated 	a. 精致的;复杂的	refined
sophisticated	a. 精致的;复杂的	elaborated
sophistication	n. 工艺	technology
sort	n. 品种;种类	kind
sort	n. 品种;种类	type
source 	n. 来源	origin
span 	n. 一段时间	period
span	v.持续，延续	extend over
spark	v. 出发	set off
sparse 	a. 稀少的;零星的	not rich
spawn	v. 产卵;产生	create
spawn	v. 产卵;产生	produce
speak of 	phrv. 提及	indicate
speciation	n. 物种形成	evolution
specific	a. 特殊的;特定的	particular
specifically	adv. 特别地；明确地	specially
specify	v. 详细說明	state
spectacular	a. 引人入胜的	impressive
spectator	n. 目击者	beholder
spectator	n. 目击者	human viewer
spectator	n. 目击者	viewer
spectrum	n. 范围;系列	range
speed	v. 加速	increase the rate of
spell	n. 一段时间	period of time
sphere	n. 范围;领域	area
splendid	adj. 辉煌的；灿烂的	magnificent
splendor	n. 光彩;壮丽	magnificence
split	a. 裂开的；分离的	divided
sponsor 	vt. 赞助；发起	support
spontaneous 	a. 自发的;非计划安排的	impulsive
spontaneous	a. 自发的;非计划安排的	instinctive
spontaneous	a. 自发的;非计划安排的	unplanned
spontaneously	adv. 自发地；自然地；	automatically
sporadic	a. 偶尔发生的	intermittent
sporadic	a. 偶尔发生的	irregular
sporadically	ad. 偶尔	occasionally
spot	v. 看见;发现	catch
spot	v. 看见;发现	identify
spot	v. 看见;发现	see
spottily 	ad. 缺乏连续性	occasionally
spread	v. 散布	distribute
spur 	v. 刺激	stimulate
stabilize	v. 使稳定	hold in place
staggering	a. 巨大的	overwhelming
staple	a. 主要的	important
staunch 	a. 坚定的;可靠的	strong
staunch	a. 坚定的;可靠的	loyal
steadfast	a. 坚定的;固定的	firm
stealthily	ad. 悄悄地	silently
stem	v. 起源于	arise
stimulate	v. 刺激;促使	cause
stimulate	v. 刺激;促使	prompt
stockpile	v. 储备;贮存贮存	store up
strategy	n. 战略，策略	plan
strictly	ad. 仅仅	only
stride	n. 大步;阔步	step
strike	v. 撞击; 冲击	come into/ contract with
striking	a. 惊人的	dramatic
string	n. 一系列	series
stringent 	a. 严厉的	strict
strip 	v. 剥去	remove
stunning	adj.使人震惊的	astounding
sturdy 	a. 结实的;强壮的	strong
stylus	n. 钢笔	pen
subject to	a. 易受…影响的	vulnerable to
subjected to	v. 控制	dominated by
subsequent 	a. 后来的;随后的	later
subsequent	a. 后来的;随后的	ensuing
subsequent	a. 在…之后	following in time
subsidiary 	a. 次要的	less important
substantial 	a. 重大的;真实的	essential
substantial 	a. 坚固的	sturdy
substantial	a. 重大的;真实的	actual
substantial	a. 重大的;真实的	significant
substantial	adj.重大的，重要的	enough
substantially 	ad. 重大地	importantly
substantiate 	v. 证明;证实	confirm
substitute 	n. 代替物	replacement
substitute	v. 代替	replace
succession 	n. 一系列	series
successive	adj.连续的	continuous
successively	adv.相继的	one after another
sue	vt. 控告	raise a legal action against
suitable 	a. 合适的	appropriate
suited 	a. 合适的	appropriated
sumptuous	a. 奢侈的;豪华的	luxurious
sunk	a. 下陷的	down to the bottom
supplant	v. 代替;	replace
supplant	v. 代替;取代	substitute
supplemental	adj.额外的	additional
suppress 	v. 制止; 镇压	stop by force
surmise	v. 推测;猜测	assumption
surmise	v. 推测;猜测	guess
surmise	v. 推测	infer
surmise	v. 推测;猜测	infer
surplus 	a. 过剩的	extra
surplus	a. 过剩的	excess
surveillance	n. 监视;检查	careful observation
susceptible to 	a. 易受…影响的	prone to
suspect	v. 猜想;疑有	believe
suspect	v. 猜想;疑有	doubt
suspend 	v. 悬挂	hang
sustain 	v. 支撑;支持	support
sustain	v. 支持	persist
sustenance	n. 生计;食物	food
sustenance	n. 生计;食物	life
sustenance	n. 生计;食物	living
swell 	n. 增大;肿胀	enlargement
swell 	v. 增大;肿胀	expand
swiftly 	ad. 迅速地	quickly
symmetric	a. 对称的;均衡的	balance
synthesis	n. 合成	combination
tactual	a. 触觉的	textural
tailspin	n. 混乱; 失控	total confusion
take place	phrv. 发生	occur
take	v. 需要	require
tame	v. 驯服;驯化	domesticate
tangible 	a. 有形的;实际的	material
tangible 	a. 有形的;实际的	physical
tantalizing 	a. 非常着急的	anxious
taper	v. 逐渐变小	diminish
task	n. 任务	work
technique	n. 手段;方法	method
teem with	phrv. 充满;遍布	be full of
tempting	a. 吸引人的;诱人的	appealing
tenacity	n.固执	stability
tend	v. 趋于;照料	care for
tendency	n. 倾向	inclination
tenet	n. 原则;信条	belief
tenet	n. 原则;信条	principle
tension 	n. 紧张	pressure
tenuous 	a.脆弱的，无力的	weak
terminal	a. 末端的;终点的	final
terminal	adj.最终的	final
terrain	n. 地形;地势	tract
testify	v. 作证	give evidence
therefore 	ad. 因此	consequently
therefore	ad. 因此	in that purpose
thorough	adj. 彻底的；十分的；周密的	complete
thoroughly	ad. 完全地;彻底	completely
threaten	v. 危及	endanger
threshold 	n. 界限;起始点	limit
thrill	n.兴奋	excitement
through	prep. 通过	by
thus	ad. 因此	consequently
thus	adv.因此	therefore
tie 	n. 连接;关系	connection
tie	n. 连接;关系	relation
timid	a. 胆怯的	fearful
toil	v. 辛勤劳动	work
tolerate	v. 忍受	endure
toxic	a. 有毒的	poisonous
track 	v. 跟踪;追踪	follow
track 	v. 跟踪;追踪	observe
transfer	v. 转移;转变	move
transform	v. 转变	deform
transformation 	n. 转化;转换	shuffle
transformation	n. 转化;转换	change
transformation	n. 转化;转换	conversion
transformation	n. 转化;转换	rotation
transforming 	n. 转化;转换	changing
transitory 	a. 短暂的	short-lived
transitory	a. 短暂的	ephemeral
transitory	a. 短暂的	temporary
transitory	a. 短暂的	transient
trappings	n. 装饰	decorations
trauma	n. 损伤;精神创伤	damage
traverse	v. 横过;穿过	cross
tremendous 	adj.极大的，巨大的	enormous
trend	n. 趋势;走向	movement
trend	n. 趋势;走向	tendency
tricky	a. 狡猾的;棘手的	difficult
trigger	v. 触发;引发	initiate
trigger	v. 触发;引发	start
truism	n. 不言而喻的道理	it was evidence that
turbulent	a. 激动的	agitated
turn	v. 使变成	change to
typical	a. 平常的	ordinary
ubiquitous	a. 到处存在的	common
ultimate	adj. 最终的	in the end
ultimately 	ad. 最终	finally
ultimately	ad. 最终	eventually
unadorned	a. 未装饰的	not decorative
unanimity 	n. 一致同意	total agreement
undergo	v. 经历;经受	experience
underlying	a. 潜在的;隐含的	inner
underpinning	n. 基础;支柱;支撑	foundation
underpinning	n. 基础;支柱;支撑	support
underrate 	v. 低估;看轻	undervalue
underrate	v. 低估;看轻	underestimate
underscore 	v. 强调	stress
underscore	vt.强调	emphasize
undertake	v. 承担;担任	attempt
undertaking 	n. 事业;企业	enterprise
uneasy	a. 不稳定的	unstable
uniform	a. 统一的;一致的	without variation
uniformly 	ad. 一致地	consistently
uniformly	ad. 一致地	evenly
unintendedly 	ad. 非计画中	occasionally
unique to	a. 特有的	only found in
unique	a. 特有的	distinct
unique	a. 特有的	sole
universally 	ad. 在各种情况下	without exception
unleash	v. 释放	release
unprecedented 	a. 空前的	novel
unprecedented 	a. 空前的	unique
unprecedented	a. 空前的	initial
unprecedented	a. 空前的	new
unprecedented	adj.史无前例的	unexampled
unqualified 	a. 不合格的;无条件的	complete
unreceptive 	a. 接受能力差的	unresponsive
unresolved 	a. 未解决的	undecided
unrestricted 	a. 没有限制的	unlimited
unsophisticated 	a. 简单的	simple
unsuitable	a. 不适合的	inappropriate
unsurpassed 	a. 非常卓越的	superior
unwieldy	a. 笨重的	cumbersome
urbane 	a. 文雅的	cultivated
utilitarian	a. 实用的	functional
utilitarian	a. 实用的	practical
utterly	ad. 完全	completely
vagary	n. 难以预测的变化	uncertainty
vaguely	a. 模煳的	slightly
vanish	v. 消失	disappear
variability	n. 可变性;反覆不定	tendency to change
variation 	n. 变更;变化	difference
varied	a. 不相同的	different
vast 	a. 辽阔的	extended
vast	a. 辽阔的	extensive
vast	a. 巨大的	immense
vast	a. 大量的	large number
vast	adj.巨大的	huge
vastly	ad. 巨大地	greatly
vehicle 	n. 手段;工具	means
vehicle	n. 手段;工具	method
vehicle	n. 手段;工具	way
versatile	a. 多才多艺的	adaptable
versatile	adj.万能的综合的	all around
via	prep. 经过;凭藉	by means of
via	prep. 经过;凭藉	by the way of
vial	n. 小瓶	bottle
vibrant	a. 生气勃勃的	vivid
vigor	a. 生气勃勃的	energy
vigorous	a. 精力旺盛的	energetic
vigorous	a. 精力旺盛的	strong
virtually 	ad. 差不多	almost
virtually 	ad. 差不多	nearly
virtually	ad. 事实上地	actually
virtually	ad. 事实上地	in fact
visual barrier	phr. 视觉阻碍	obstacle to view
vital 	a. 极重要的	essential
vital	adj.必不可少的	essential
vivid	a. 鲜明的	bright
volume 	n. 数额	quantity
vulnerable 	a. 易受伤害的	open to attack
vulnerable	a. 易受伤害的	open to break
vulnerable	a. 易受伤害的	susceptible
vulnerable	a. 易受伤害的	weak
wanting	a. 不够好的	inadequate
warrant 	v. 授权	authorize
warrant 	v. 使正当	justify
wary	a. 小心的;谨慎的	cautious
way	n. （长途旅行的）小站	station stop
whatever	ad. 不管怎样	in any case
whereas	conj. 然而	however
whereby	conj. 凭藉;如何	through a process in which
while	conj. 虽然	although
whole	adj.整体的，全部的	entire
wholly 	ad. 完全地;全部	completely
wield	v. 行使	exert
within	ad. 在里面	inside
withstand	v. 承受;经受住	resist
withstand	v. 承受;经受住	tolerate
witness 	v. 目击	observe
yearly	a. 一年的	annual
yearning	a. 思念的;渴望的	longing
yet	conj. 然而	however
yield	v. 产生;提供	produce
yield	v. 产生;提供	provide
zenith	n. 顶点	peak
abandon	v.放弃	give up
accelerate	v.加速，提前	speed up
adequately	adv.足够地，充分地	sufficiently
adjacency	n.邻近	nearing
alleged	v.宣称	asserted
alleged	v.假定，断言	supposed
