primarily,"ad. 主要地,首先地,基本地"
talented,"adj. 有才能的,多才的"
tempt,"vt. 诱惑,引诱,冒...风险,吸引"
thump,"n. 重打,重击声v.重打,砰地撞到,用拳头打"
trail,"n. 踪迹,痕迹 vt. 拖,尾随vi.拖曳,垂下"
transformation,"n. 变形,变质,变化,变压,转变"
underscore,vt. 划线于...下n. 底线
unfamiliar,a. 不熟悉的
unpopular,"adj.不受欢迎的,名声不佳的,不流行的"
vampire,n. 吸血鬼
vanish,"vi.消失,不见,成为零"
briefly,"adv. 1 简单地,简短地2 [修饰整句]简言之"
cable,"n. 电缆,索vi. 打海底电报vt.缚住"
charm,"n. 吸引力,魔力,符咒vt.迷住,使陶醉,行魔法"
colony,"n. 殖民地,侨民"
commentary,"n. 注释,评论,批评"
comprehend,"vt. 理解,包括"
cooperation,"n. 合作,协力,合作社"
cosmetic,n. 化妆品a. 化妆用的
costly,"a. 昂贵的,奢华的,费用大的"
dairy,"n. 乳酪农场,酪农业,牛奶场"
defensive,"a. 防卫的,防备用的,辩护的n. 守势"
digression,"n. 离题,扯到枝节上,脱轨"
discomfort,"n. 不便之处,不适"
economist,"n. 经济学者,经济专家"
encompass,"vt. (文语)1 围绕,包围2 包含,含有3 造成 "
enormous,"a. 巨大的,庞大的"
erroneous,"a. 错误的,不正确的"
eruption,"n. 爆发,火山灰,出疹"
exclude,"vt. 除外,排除,拒绝,排斥"
exposure,"n. 暴露,揭发,揭露"
formula,"n. 公式,定则,客套语"
orchestra,"n. 管弦乐队,乐队演奏处"
outrage,"n. 暴行,侮辱,愤怒vt. 凌辱,虐待,触犯"
perfection,"n. 完美,完成,极致"
poetic,"a. 诗的,诗意的,诗人的,理想化的"
preoccupation,"n. 先取,先入成见,偏见,出神"
productive,"a. 能生产的,有生产价值的,多产的"
rejection,"n. 拒绝,抛弃,驳回,呕出物,排泄物,被抛弃的东西"
relativity,"n. 有关系,相关性,比较性"
release,"n. 释放,让渡,豁免vt.释放n. 版本,发布"
relevance,"n. 中肯,适当"
reliance,"n. 信任,信赖,信赖的人或事"
remedy,"n. 药物,治疗法,治疗vt. 治疗,补救,矫正,修补"
repeal,"n. 废止,撤消vt. 废止,撤消,放弃"
restriction,"n. 限制,限定,约束"
revelation,"n. 揭露,泄露,启示,展示"
reverence,"n. 尊敬,敬重,威望,尊严vt. 崇敬,敬畏,尊敬"
ritual,"n. 仪式,典礼,宗教仪式a.仪式的,依仪式而行的"
severe,"a. 严格的,凶猛的,严肃的,朴素的,严重的"
skeptic,"n. 怀疑者,怀疑论者,无神论者"
slightly,"ad. 些微地,苗条地"
solely,"ad. 独自地,单独地"
appointment,"n. 约会,指定"
advancement,"n. 前进,进步"
alien,"n. 外侨a. 外国的,相异的"
allusion,"n. 提及,暗示"
backyard,"n. 后院,后庭"
biographer,n. 传记作者
bolster,"n. 支持,长枕vt. 支持,支撑"
canoe,"n. 独木舟,轻舟vi.乘独木舟vt.用独木舟运"
carnivorous,a. 食肉的
chiefly,ad. 主要地
designate,"vt. 指定,指明,称呼a. 选出而未上任的"
discourse,"n. 谈话,演讲vi. 谈论,演说"
dramatize,"vt. 改编成戏剧,编写剧本vi. 戏剧式地表现"
empathy,a. 移情作用的
illuminate,"vt. 照明,阐明,用灯装饰,使灿烂,说明vi. 照亮"
optimism,"n. 乐观主义,乐观,乐天"
participant,"n. 参加者,参与者;有关系者[in] adj. 参与的"
participate,"vi. 参加,分享,参与vt. 分享,分担"
revive,"vt. 使苏醒,使复兴,使振奋,回想起vi.苏醒,复活"
whimsical,"a. 心情浮动的,反复无常的,古怪的,异想天开的"
extraterrestrial,adj. 地球以外的  地球以外的生物
faculty,"n. 才能,能力,全体教员,(大学的)系"
fairy,"n. 仙女,精灵a. 仙女的"
founder,"n. 创立者,建立者vt.弄摔倒,弄跛vi.摔到"
freight,"n. 船货,运费,货运vt. 装货,使充满,运送"
fulfill,"vt. 实践,履行,实行,满足,结束"
heal,"vi. 痊愈vt. 使复原,使和解,治愈"
hostile,"a. 怀敌意的,敌对的n. 敌对分子"
hostility,"n. 敌意,敌对,反对"
hover,"vi. 盘旋,翱翔,徘徊vt. 孵n. 翱翔"
humility,"n. 谦逊,谦虚,谦卑"
inaccurate,"a. 错误的,不准确的"
indifferent,"a. 漠不关心的,无重要性的,中立的"
inflation,"n. 胀大,夸张,通货膨胀"
inherit,"vt. 继承,遗传vi. 接受遗产"
insightful,adj. 具洞察力的
insignificant,"a. 无关紧要的,无意义的,琐碎的"
investment,"n. 投资,可获利的东西"
legitimate,"a. 合法的,正当的,婚生的vt.使合法"
literacy,"n. 读写能力,识字,精通文学"
luxury,"n. 奢侈,豪华a. 奢侈的,豪华的"
revere,"vt. 崇敬,敬畏,尊敬"
revolt,"n. 叛乱,反抗,反感vi.叛乱,厌恶vt. 使反感"
rhetorical,"a. 修辞学的,符合修辞学的,修辞的"
rival,"n. 对手,竞争者a. 竞争的"
rugged,"a. 高低不平的,崎岖的,粗糙的"
sensibility,"n. 感性,感觉,情感"
simplicity,"n. 单纯,简朴,朴素,天真,无知,坦率"
simplistic,a. 过分单纯化的
skeptical,"adj.怀疑的,怀疑的,不信的,无神论的"
stifle,"vt.使不能呼吸,窒息,抑制vi. 窒息,闷死"
strive,"vi. 努力,奋斗,斗争"
temperance,"a. 温暖的,温和的,有节制的"
temporarily,"ad. 暂时,一时,临时"
thesis,"n. 论题,论文"
toxic,"a. 有毒的,中毒的"
transition,"n. 转变,转换,变调,过渡时期,跃迁"
twine,"n. 合股线,麻线,搓v.编饰,(使)缠绕"
unity,"n. 个体,一致,结合"
unprecedented,a. 空前的
unspoiled,adj. 1 未损坏的; 未受破坏的2 未宠坏的
urgency,"n. 紧急,催促,强求"
animate,"vt. 使有生气,赋予生命a. 有生命的"
annually,"ad. 一年一次,每年"
arrogant,"a. 傲慢的,自大的"
astonishment,"n. 惊异,惊愕,使人惊异的事物"
behavioral,a. 动作的
bloom,"n. 花,开花,青春vi. 开花,茂盛"
captivate,"vt. 迷住,迷惑"
cart,n. 二轮运货马车vi. 驾运货马车
collision,"n. 碰撞,冲突,抵触"
complement,"n. 补足物,补语,余角vt. 补助,补足"
confound,"vt. 使混淆,使狼狈,挫败"
council,"n. 会议,评议会"
county,"n. 县,郡"
creator,n. 创建者
crow,"n. 啼叫,乌鸦,鸡鸣,撬棍vi.啼叫,报晓"
cub,"n. 幼兽,年轻人"
dearth,"n. 缺乏,粮食不足,饥谨"
decay,"n. 衰退,腐败vi. (使)衰退,(使)腐败"
deplete,"vt. 耗尽,使衰竭"
deprive,"vt. 剥夺,使丧失"
deride,"vt. 嘲弄,嘲笑"
individuality,"n. 个性,人格,特征"
inner,"a. 内部的,内心的n. 内部"
integrate,"vt. 综合,使结合,使成整体a.完整的,完全的"
intentional,"a. 企图的,策划的,故意的"
interior,"n. 内部,内政a. 内部的,心灵的"
kitten,"n. 小猫,淘气姑娘vt. 产仔,卖弄风情"
lawn,"n. 草地,草坪,薄麻布"
legendary,"adj. 1 传说 (上) 的2 传奇性的, 著名的"
liberal,"n. 自由主义者,开明的人a. 慷慨的,不拘泥的"
livestock,n. 家畜类
manufacture,"n. 产品,制造vt. 制造,假造vi. 制造"
mayor,n. 市长
medication,"n. 药物治疗,药物处理,医药"
melancholy,"n. 忧郁,悲哀,愁思a. 忧郁的,使人悲伤的"
moderate,"a. 适度的,稳健的,节制的vt.节制,使缓和"
naturalist,"n. 自然主义者,博物学者"
occasional,"a. 偶然的,临时的,备不时之需的"
ongoing,"a. 前进的,进行的n. 前进,举止,行为"
orderly,"a. 有秩序的,整齐的,值班的ad.依次地"
paradox,"n. 似非而是的论点,自相矛盾的话"
particle,"n. 粒子,点,极小量"
renovation,"n. 革新,刷新,修理"
abolitionist,"n. 废除主义者,废奴主义者"
accidental,"a. 意外的,偶然的n. 非本质属性"
comparatively,"ad. 比较地,相当地,多少"
counterfeit,"n. 赝品,伪造品v.仿造,伪装"
destructive,"a. 毁灭性的,破坏的,有害的"
disrupt,"a. 分裂的,分散的vt. 使分裂,使瓦解"
dwell,"vi. 居住,踌躇"
enumeration,"n. 计算,列举,细目"
explosive,"n. 炸药,爆炸物a. 易爆发的,爆炸的,暴躁的"
flavor,"n. 滋味,香料vt. 加味于"
flippant,"a. 轻率的,没礼貌的,嘴碎的"
glorify,"vt. 赞美,美化,赞扬,使辉煌"
hesitate,"vi. 犹豫,迟疑,踌躇,支吾"
indication,"n. 指示,象征,象征物"
infinite,"n. 无限,神a. 无穷的,无限的,极大的"
infrequent,"a. 稀少的,珍贵的,罕见的"
innate,"a. 先天的,天生的"
mythical,adj. 1 神话的; 神话中的2 虚构的
reiterate,"vt. 反复地说,重申,反复地做"
acoustic,"a. 听觉的,声学的,音响学的"
adept,"a. 熟练的,老练的n. 名手,专家"
administrator,"n. 管理人,行政官"
alert,"a. 警觉的,灵敏的,留心的n. 警报vt. 使警觉"
analogy,"n. 相似,类似"
apologetic,"a. 道歉的,认错的,辩护的"
appreciative,"a. 有鉴识力的,感激的"
archaeological,"a. 考古学的,考古学上的"
arena,"n. 竞技场,舞台"
aristocratic,"a. 贵族的,贵族政治的,贵族气派的"
astronomical,"a. 天文学的,天文数字的,庞大的"
atmospheric,a. 大气的
authenticity,"n. 确实性,真实性"
autonomy,n. 自治
await,vt. 等候
baker,n. 面包师
beaver,n. 海狸(毛皮)
benign,a. 良性的
bleak,"a. 萧瑟的,苍白的,荒凉的,阴冷的"
blueprint,"n. 蓝图,设计图,(周详的)计划vt.制成蓝图"
booker,n. 登记旅馆、车票、机票、戏票等的人员
denial,n. 否认
desirable,a. 令人想要的
desperately,adv. 1 自暴自弃地;绝望地，穷途末路地
detachment,"n. 分离,分遣,分遣队"
dictatorship,"n. 独裁者之职,独裁权,独裁政权"
discharge,"vt. 卸下,放出,解雇,放电,履行"
dissatisfaction,"n. 不满,不平"
dissatisfy,"vt. 使感觉不满,不满足"
distaste,"n. 讨厌,嫌恶"
distress,"n. 苦恼,贫困,痛苦vt.使苦恼a.亏本出售的"
documentation,n. 文件
downplay,vt. 不予重视
droop,"vi. 下垂,消沉vt. 使下垂n. 低垂,消沉"
dungeon,n. 地牢
ecologist,n. 生态学者
efficiency,"n. 效率,效能,有效"
elite,"n. 精华,精锐,中坚分子"
elitist,"n. 优秀人才,杰出人才a.优秀人才的,杰出人才的"
envision,"vt. 想象,预想"
essayist,"n. 随笔作家,评论家"
establishment,"n. 确立,制定,设施"
incompatible,"a. 不相容的,不能并存的,矛盾的"
inexpensive,"a. 便宜的,不贵重的"
informality,n. 非正式
intent,"n. 意图,目的,意向a. 专心的,决心的,热心的"
intimacy,"n. 亲密,熟悉,亲昵行为"
invoke,"vt. 祈求,恳求,引起,援引,实行"
involvement,"n. 1 卷入,牵连,连累[in, with]2 困扰的事,麻烦"
knowledgeable,"a. 聪明的,有知识的"
lace,"n. 饰带,花边,缎带,鞋带vt. 结带子vi. 缚带子"
legacy,"n. 祖先传下来之物,遗赠物"
lengthy,"a. 冗长的,漫长的"
luminescence,"n. 无热光,冷光,发光"
manifest,"n. 载货单a. 显然的,明白的vi.显示vt.表明,表现"
manifestation,"n. 显示,证明,示威运动"
manipulation,n. 处理
mastery,"n. 征服,统治权,精通,掌握"
measurement,"n. 尺寸n. 度量,度量单位"
mediocre,"a. 不好不坏的,通常,平凡的"
reservation,"n. 保留,预定,保留品,保留地"
steam,"n. 蒸汽,精力a. 蒸汽的vi.蒸发,行驶,发怒"
dynamic,"a. 动态的,有动力的,有力的,动力的n.动力,动态"
howl,"n. 吠声,号叫vi. 狂吠,咆哮,呼啸"
appendix,"n. 附录,盲肠"
reception,"n. 接待,欢迎,接收力,招待会,接受"
toothpaste,n. 牙膏
primitive,"n. 原始人,早期艺术家a. 原始的,上古的,旧式的"
wander,"vi. 游荡,漫步,徘徊,蜿蜒,离题,迷路vt. 漫游"
artificial,"a. 人造的,虚伪的,武断的"
attractive,"a. 吸引人的,有魅力的"
civilian,"n. 平民,文官a. 平民的,文官的,民间的"
category,"n. 种类,类项"
symptom,"n. 症状,征候,征兆"
academy,"n. 学院,院校,学会"
stable,"n. 马房,牛棚a. 稳定的,安定的,坚固的,坚定的"
garbage,"n. 垃圾,废物"
reuse,vt. 再使用n. 重新使用
orbit,"n. 轨道,常轨,眼眶vi. 进入轨道,盘旋"
freeway,n. 高速公路
adolescent,"a. 青春期的,青年的n. 青少年"
nervous,"a. 神经紧张的,不安的,神经的"
personnel,"n. 人员,职员"
exhibition,"n. 表现,展览会,展览品"
outdoor,"a. 户外的,屋外的,露天的"
dilemma,"n. 困境,进退两难的局面"
cream,"n. 乳酪,奶油,面霜"
flexible,"a. 易曲的,灵活的,可通融的,能变形的"
chemist,"n. 化学家,药剂师"
adequate,"a. 适当的,足够的"
cathedral,n. 大教堂
furniture,"n. 家具,附属品"
competitor,n. 竞争者
steep,"n. 浸渍,浸液,悬崖a. 险峻的,陡峭的"
nowhere,"ad. 无处,到处都无"
laughter,"n. 笑,笑声"
identification,"n. 视为同一,证明同一,确认"
ceiling,n. 天花板
privilege,"n. 特权,特别恩典,基本人权,特免"
occupation,"n. 职业,占有,占有期间"
ecology,"n. 生态学,社会生态学"
devotion,"n. 热爱,投入"
chaos,"n. 大混乱,混沌"
spell,"n. 符咒,魅力,轮值,轮班vt.拼写"
arctic,"a. 北极的,极寒的n. 北极圈,北极地方"
coincidence,"n. 巧合,同时发生"
absurd,"a. 荒谬的,不合理的,可笑的"
violate,"vt. 违犯,亵渎,干扰,妨碍,侵犯,违反"
marble,"n. 大理石,石弹,雕刻品a.大理石的,冷酷无情的"
workforce,n. 员工
settlement,"n. 解决,处理,结算,沉降,殖民地"
jar,"n. 广口瓶,震动,刺耳声vi.震惊,冲突"
drill,"n. 钻孔机,钻子,播种机,卡其v.训练,钻孔"
negotiate,"vi. 商议,谈判,交涉vt. 谈妥,转让,处理"
supreme,"n. 至高,霸权a. 至高的,终极的,极端的,最大的"
substitute,"n. 代理,代理人,代用品,代替物vi.替代,取代"
flee,"vt. 逃避,逃跑,逃走vi. 逃,消失"
shabby,"a. 衣衫褴褛的,不体面的,卑鄙的,吝啬的,破旧的"
starve,vt. 使饿死vi. 饿得要死
jungle,"n. 丛林,生死关头"
gallery,"n. 走廊,最高楼座,画廊n. 图库"
welfare,"n. 福利,安宁,幸福,福利事业a. 福利的"
explicit,"a. 外在的,清楚的"
rough,"n. 粗糙的东西,毛坯,未加工品,梗概"
memorial,"n. 纪念物,请愿书a. 纪念的,记忆的"
tissue,"n. 薄的纱织品,薄纸,连篇,组织,棉纸"
abuse,"n. 滥用,恶习,辱骂vt. 滥用,辱骂,虐待"
antarctic,"a. 南极的,南极地带的n. 南极圈"
punctuate,vt. 1 给…加标点符号2 a. 强调
millennium,"n. 太平盛世,一千年"
mingle,v. (使)混合
minimize,"vt. 将...减到最少,小看，极度轻视"
morality,"n. 道德,教训,品行"
morose,"a. 郁闷的,乖僻的"
mutineer,"n. 暴徒,反抗者vi. 暴动,反抗"
negotiation,"n. 谈判,磋商,交涉"
nobility,"n. 贵族,高尚,贵族阶级"
nonetheless,adv. 然而，虽然如此，但是 
nutritionist,n. 营养学家; 营养专家
offend,"v. 犯罪,冒犯,违反"
ornate,"a. 装饰的,华丽的"
pasty,"a. 面糊似的,苍白的n. 馅饼"
pathos,"n. 感伤,悲怆,悲情"
persevere,"vi. 坚持,孜孜不倦,不屈不挠"
comma,"n. 逗点,逗号"
jam,"n. 果酱,拥塞之物,堵塞vt.挤进vi.堵塞,轧住"
pierce,"vt. 刺穿,穿透,洞悉vi. 刺入"
plunge,"n. 钻进,落下,盲目投资vi.投入,急降,下降"
polio,n. (口语)小儿麻痹症
pottery,"n. 陶器,陶器场"
practicality,"n. 实际,实用,实用主义,实物"
premium,"n. 额外费用,奖金,奖赏,保险费"
prevalent,"a. 普遍的,流行的"
principal,"n. 校长,首长,本金,主犯a. 主要的,重要的"
priority,"n. 优先权,优先顺序,依次,前,优先n. 优先级"
privacy,"n. 隐私,隐居,秘密"
prolong,"vt. 延长,拖延,拖长"
protective,"a. 给予保护的,保护的"
qualify,"vi. 取得资格,有资格vt.使合格,准予"
readily,"ad. 不迟疑地,迅速地,轻易地"
refine,"vt. 精炼,净化,使优雅,使精练vi.精炼,净化"
regime,"n. 政权,当权期间,政体,社会制度"
regulate,"vt. 有系统的管理,规定,使整齐,调整,调节"
repulsive,"a. 逐退的,可恶的,冷淡的,排斥的"
rouse,"n. 觉醒,奋起vt.唤醒,鼓舞,惊起vi.醒来,奋起"
safeguard,"n. 保卫,保护措施,防护设施vt.保卫,保护"
saliva,"n. 唾液,唾沫,涎"
withhold,"vt. 扣留,保留,抑制vi. 忍住"
augment,"v. 增加,增大n. 增加"
callous,"a. 麻木的,无情的,起老茧的vt.使麻木"
commercialization,n. 商业化
disingenuous,"a. 不老实的,不诚实的,虚伪的"
endowment,"n. 捐助,天赋,才能"
espouse,"vt. 支持,赞成,嫁娶"
estrangement,n. 疏远
harmonious,"a. 和睦的,调和的,和谐的,协调的"
incredible,a. 难以置信的
inducement,"n. 诱因,动机,刺激物"
infection,"n. 传染,影响,传染病"
inhibit,"vt. 禁止,抑制vi. 有禁止力"
intermittent,"a. 间歇的,断断续续的"
intuitive,a. 直觉的
jealous,"a. 嫉妒的,羡慕的,留心的,戒备的"
lofty,"a. 高的,高超的,傲慢的,玄虚的,高级的"
masculine,"n. 阳性,男性a. 男性的,阳性的"
miraculous,"a. 奇迹的,不可思议的"
monotonous,"a. 单调的,无变化的"
neuroscience,n. 神经科学
ambiguity,"n. 不明确,含糊,暧昧"
anticipation,"n. 预期,预料"
apathetic,"a. 缺乏感情的,缺乏兴趣的,无动于衷的"
aspire,"vi. 热望,立志"
auditorium,"n. 礼堂,会议厅,听众"
aviation,"n. 航空,航空学,航空术"
belie,"vt. 掩饰,与...不符,使失望"
bemoan,"vt. 惋惜,认为遗憾,哀叹"
blade,"n. 刀锋,刀口,剑"
blur,"vt. 使模糊,弄脏vi. 弄脏,模糊"
brood,"n. 一窝,一伙vt. 孵,沉思"
celestial,"a. 天的,天国的,天空的"
ceremonial,n. 仪式a. 正式的
clarity,"n. 清楚,透明"
coastal,"a. 海岸的,沿海的,沿岸的"
combustion,"n. 燃烧,氧化"
comical,"a. 好笑的,滑稽的"
comparable,"a. 可比较的,比得上的"
compile,"vt. 编译,编辑,编纂,搜集n. 编译"
compost,"n. 混合物,堆肥vt. 施堆肥"
concentration,"n. 集中,集合,专心"
disposition,"n. 性情,处置,处理,布置"
distribution,n. 分配
divert,"vt. 转移,使欢娱vi. 转移"
divisive,"a. 区分的,分裂的,不和的"
drafty,"a. 通风良好的,有缝隙风吹入的"
drapery,"n. 帷帐,布料"
earring,"n. 耳环,耳饰"
ecological,"a. 生态学的,社会生态学的n. 生态学"
emission,"n. 发射,射出,发行"
enact,"vt. 制定法律,扮演,颁布"
engrave,"vt. 刻上,雕刻,铭记"
enthusiastically,"ad. 热心地,狂热地"
entity,"n. 实体,实存物,存在"
exclusive,"a. 独占的,唯一的,排外的a. 独占的"
extravagant,"a. 奢侈的,挥霍无度的,浪费的"
fabric,"n. 织物,布,构造,结构,建筑物"
facetious,"a. 滑稽的,爱开玩笑的"
familiarity,"n. 亲密,熟悉,精通"
feminine,"a. 女性的,阴性的,柔弱的"
fluid,"n. 液体,分泌液,流体a. 流动的,可改变的"
forage,"n. 粮草,饲料,搜寻粮草vt.喂,掠夺vi. 搜寻粮草"
intrusion,"n. 闯入,侵扰"
investigator,"n. 研究者,调查者,审查者"
irrational,"n. 无理数a. 无理性的,不合理的"
irreparable,"a. 不能修补的,不能挽回的"
melt,"n. 熔化,熔化物,溶解v (使)熔化,(使)溶解"
migrate,"vi. 移动,移往,随季节而移居vt. 使移居"
misfortune,"n. 不幸,灾祸,坏运气"
momentous,"a. 重大的,重要的"
monologue,"n. 独白, 独角戏"
mutiny,"n. 叛变,兵变vi. 叛变,反抗,暴动"
myriad,"n. 万,无数,无数的人或物a. 无数的,种种的"
mystify,"vt. 使神秘化,使难解,迷惑n. 变幻线"
narrate,"v. 说故事,说明,叙述"
negotiator,"n. 磋商者,交涉者,议定者"
notable,"n. 著名人士,值得注意之事物a.值得注意的"
nurture,"n. 养育,营养物,教育vt. 养育,给予营养物"
occurrence,"n. 发生,事件,发现"
oppressive,"a. 压制性的,压迫的,沉重的"
orangutan,n. 猩猩
overland,"a. 陆路的,经过陆地的,陆上的ad. 经陆路"
partisan,"n. 党羽,同党的人,游击队员a. 党徒的,效忠的,献身的"
repetition,"n. 重复,复诵,副本,复制品"
replacement,"n. 交换,更换,代替者"
replicate,"vt. 折叠,折转,复制a.折转的"
resentful,"adj. 愤恨的,气愤的,愤慨的,愤怒的"
resort,"n. 度假胜地,手段,凭借,常去vi.诉诸,常去"
restrain,"vt. 抑制,阻止,束缚"
restraint,"n. 抑制,克制,束缚"
robust,"a. 健康的,强健的,粗野的,坚定的"
royalty,"n. 皇室,王权,庄严"
sanctuary,"n. 圣所,耶路撒冷的神殿,避难所"
satirize,"vt. 讽刺,挖苦 vi. 写讽刺作品"
scatter,"n. 消散,分散,散布,散射v散布,散播,消散"
secrete,"vt. 隐秘,隐藏,隐匿,分泌"
selectman,n. 行政委员
self-evident,a. 自明的
sensory,"a. 知觉的,感觉的,感觉器官的"
sibling,"n. 兄弟,同属"
signify,"vt. 象征,预示vi. 要紧"
sin,"n. 罪,犯罪,失礼,过失,犯法"
snap,"vt. 咬断,猛咬,争夺,拉断vi. 抓,折断"
snapshot,n. 快照
tremendous,"a. 巨大的,非常的,可怕的"
trim,"n. 整齐,装饰,修剪a.整齐的vt.整理,修剪"
turtle,n. 海龟
underestimate,"n. 低估vt. 低估,看轻"
understatement,n. 1 含蓄的陈述2 含蓄的话[说话]
undesirable,"a. 不受欢迎的,不良的"
unpredictable,a. 不可预知的
unrealistic,"a. 不切实际的,不实在的"
unwillingness,"n. 不愿意, 不情愿"
vegetation,n. 植物
veil,"n. 面纱,面罩,借口,遮蔽物,帐,幕"
venerable,"a. 庄严的,值得尊敬的"
verbal,"a. 词语的,言语的,动词的,逐字的,口头的"
vulnerable,"a. 易受伤害的,有弱点的,脆弱的,易受攻击的"
warrant,"n. 正当理由,根据,证明,凭证vt.保证"
well-being,"a. 安宁,福利"
wit,"n. 机智,机警,智力,头脑,机智的人,妙语,理智"
wive,"vi. 娶妻vt. 给予娶妻,娶"
yearn,"vi. 渴望,想念,怀念"
attentive,"a. 注意的,留意的"
bitterly,"ad. 怨恨地,悲痛地,残酷地"
abigail,n. 使女
admirer,"n. 钦佩者,仰慕者,求爱者"
adversary,"n. 敌手,对手"
advertiser,"n. 广告者,广告客户"
agreeable,"a. 愉快的,和蔼可亲的,同意的"
alloy,n. 合金vt. 使成合金vi.合铸
amazement,"n. 惊愕,惊异"
amino,adj. [化学]氨基的
anachronistic,a. 时代错误的
anarchy,"n. 无政府状态,混乱"
annoyance,"n. 烦恼,可厌之事"
antagonistic,"a. 反对的,敌对的"
anthology,"n. 诗选,文选"
antic,n. 滑稽动作a. 小丑的
apartheid,n. 种族隔离
apt,"a. 倾向于的,易于的,恰当的,聪明的"
array,"n. 排列,衣服,大批vt. 部署,穿着,排列"
arrogance,"n. 傲慢态度,自大"
artisan,"n. 工匠,技工"
artistry,n. 艺术之性质
assign,"vt. 分配,指派v. 赋值"
atrocity,"n. 残暴,凶恶,暴行"
attune,"vt. 调音,使合调,使相合"
atypical,a. 非典型的
commentator,n. 1 注解者2[电视.广播]时事评论家
commission,"n. 委任状,任官令,委托,犯法vt.委任"
complexes,n. 复合物
conciliatory,"a. 安抚的,怀柔的,融和的"
condescend,"vi. 谦逊,屈就,堕落"
confer,"vt. 赠予,协议vi. 协商"
conjecture,"n. 推测,猜想,揣摩v. 推测,猜想,揣摩"
contemptuous,"a. 轻蔑的,侮辱的,瞧不起人的"
cooperative,"a. 合作的,协力的"
cope,"vi. 竞争,对抗,克服n. 长袍"
correspondent,"n. 通讯记者,通信者"
coverage,"n. 覆盖的范围,保险总额,新闻报道"
covet,"v. 妄想,垂涎"
coyote,"n. 一种小狼,山狗"
curse,"n. 天罚,恶骂,诅咒vt. 诅咒,咒骂"
deflect,"vt. 打歪,使偏斜vi. 偏斜"
demonstrator,"n. 论证者,证明者,指示者,示威者"
enzyme,n. 酶
epic,"n. 史诗,叙事诗a. 史诗的,叙事诗的"
equivalent,"n. 同等物,等价物,相等物a. 相等的,同意义的"
esoteric,"a. 秘教的,奥秘的,秘传的"
exacerbate,"vt. 恶化,增剧,激怒,使加剧"
explicitly,"adv. 明白地, 明确地"
fabrication,"n. 制造,建造,虚构的谎言"
fallacy,"n. 错误的观念或信念,谬见,谬论"
fertilizer,"n. 肥料,受精媒介物"
fingerprint,n. 指纹vt. 采指纹
foe,"n. 仇敌,反对者,敌人"
folly,"n. 愚蠢,荒唐事,轻松歌舞剧,讽刺剧"
foreshadow,"vt. 成为前兆,暗示,预示"
forger,"n. 伪造者,赝造者,铁匠"
formation,"n. 构造,编队,形成"
frown,n. 皱眉vi. 皱眉头vt. 皱眉表示
gem,"n. 珠宝,宝石,珍贵之物vt. 饰以宝石"
embolden,"vt. 使大胆,使有胆量"
emergence,"n. 出现,脱出,发生"
emulate,"vt. 效法,尽力赶上,同...竞争"
endurance,"n. 忍耐,忍耐力,耐性"
inefficient,"a. 无效率的,无能的"
inequality,"n. 不平等,不同,不平均n. 不等式"
inescapable,"a. 逃不掉的,不可避免的"
infant,"n. 婴儿,儿童a. 婴儿的,幼稚的"
inferior,"a. 次等的,较低的,下方的,下级的n.低下的人,次品"
inferiority,"n. 自卑,次等"
innumerable,"a. 无数的,数不清的"
insincere,"a. 不诚实的,无诚意的,伪善的"
insofar,ad. 在...的范围
instantly,"ad. 立即地,即刻地"
instill,"vt. 1灌输给[某人],滴注"
instrumental,"a. 仪器的,器具的,可作为手段的"
intake,"n. 引入口,入口,通风口"
intellect,"n. 智力,理解力,知识分子"
irreversible,adj. 1 不能倒逆的; 不能翻转的2 不能撤回的
lemur,n. 狐猴
life-form,n. 生物
livelihood,"n. 生计,营生,生活"
loan,"n. 贷款,借出,债权人v. 借,供应货款,借给"
lobby,"n. 大厅,休息室,游说议员者vi. 游说议员"
loom,"n. 织布机,若隐若现的景象vi. 朦胧地出现"
overtime,"n. 超时,加班,延长时a. 超时的,加班的"
peculiar,"a. 奇特的,罕见的,特殊的,特别的"
penalty,"n. 刑罚,罚款,报应"
perpetual,"a. 永久的,不断的,没完没了的,四季开花的"
phenomenology,n. 现象学
phonograph,"n. 留声机,电唱机,vi. 灌入留声机"
physiological,"a. 生理学的,生理学上的"
placid,"a. 平静的,沉着的,平稳的"
plead,"vi. 辩护,恳求vt. 为...辩护,托称"
plentiful,"a. 许多的,丰富的,丰饶的"
poignant,"a. 严厉的,尖锐的,剧烈的"
polecat,n.[动物]1 (英)鸡貂2 (美)斑纹臭鼬
precocious,"a. 早熟的,早成的"
presumption,"n. 专横,放肆,可能性,推测,假定"
presumptuous,"a. 放肆的,冒昧的,冒失的"
pristine,"a. 原来的,古时的,原始的"
prodigy,"n. 惊人的事物,不凡的人,神童"
profitable,"a. 有利润的,有利益的,赚钱的"
projection,"n. 发射,计划,推测,设计"
promptly,"ad. 敏捷地,迅速地"
protagonist,"n. 主演,主角,主唱者"
spice,"n. 药料,香料，调味品,香气vt. 加香料"
spider,"n. 蜘蛛,设圈套者"
steadfast,"a. 坚定的,踏实的,固定的,不变的"
stiff,"a. 坚硬的,严厉的,呆板的,生硬的,刚强的"
stow,"vt. 收藏,装填,贮藏,堆垛,使暂留,装满"
stray,"n. 走失的家畜,浪子a.迷途的,偶然的vi.迷路"
suburb,"n. 市郊,郊区,边缘"
